id,5
num_pods,125
max_cnk,48,load,0.2
min_cnk,1
tfk_mean,200
tfk_var,100
traffic value,traffic counts
1,78
4,387
8,1008
16,1472
40,72
0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,
16,0,0,4,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,8,16,4,0,16,0,16,0,0,8,0,0,0,8,16,16,16,8,0,0,0,0,0,16,0,0,0,0,0,0,4,8,0,0,0,0,8,0,0,0,8,16,16,1,0,0,8,0,8,4,16,0,0,0,4,8,16,16,8,8,8,0,0,0,16,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,16,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,16,0,0,0,8,16,0,
0,0,0,0,0,8,16,0,0,16,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,4,0,16,16,0,0,4,16,0,0,0,8,0,16,0,0,0,0,0,16,0,0,1,0,16,0,0,0,16,0,0,8,0,4,4,0,0,8,16,0,16,16,0,0,0,16,16,4,0,0,0,0,8,4,16,16,8,16,16,0,4,0,16,0,0,8,0,0,0,0,0,0,0,16,16,4,0,0,0,40,0,0,16,16,16,0,0,16,0,0,0,0,4,8,0,0,0,0,16,16,
0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,16,0,0,16,0,0,
0,0,8,16,0,0,40,0,0,0,0,0,0,0,0,0,8,16,16,0,0,0,0,0,0,0,4,0,0,0,4,4,8,16,0,16,0,4,0,8,0,4,0,0,0,0,0,16,0,16,0,0,0,0,0,40,0,0,16,0,0,0,40,16,1,0,0,0,8,0,0,0,0,0,0,0,8,0,8,16,8,8,0,0,0,0,16,0,16,16,0,1,16,0,0,0,0,0,0,0,8,8,0,16,16,0,0,0,0,16,0,8,16,0,8,0,4,0,0,16,0,8,16,0,16,
0,0,8,8,16,40,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,16,8,0,8,0,8,1,0,16,40,0,16,0,0,8,0,16,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,8,0,8,16,16,0,0,8,0,0,4,0,0,0,16,0,8,0,0,0,0,0,8,0,0,16,0,0,16,0,16,0,8,0,0,16,4,0,0,0,0,8,0,0,0,0,0,16,0,0,0,
8,16,0,0,0,0,0,0,16,8,0,16,0,0,0,0,0,16,0,8,0,0,0,0,16,16,0,16,8,0,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,1,0,0,0,0,0,0,0,8,0,0,0,8,0,8,16,0,0,0,0,0,8,0,0,8,0,0,0,8,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,16,0,16,0,0,0,0,8,16,4,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,4,16,4,16,0,0,0,
